location_resolution,state,local_area,relaxing_or_restricting,policy_category,policy_subcategory,policy_subtarget,policy_description,date_issued,date_start,date_end_anticipated,date_end,intended_duration
Local,California,"San Joaquin County, CA",Restricting,Travel restrictions,Domestic travel restriction,General population (inclusive),Travel is permitted for urgent matters or if such travel is essential to certain permitted work. Non-essential travel (vacations & pleasure) should be avoided.,2020-06-02,2020-06-02,Unspecified,2020-09-29,
Local,California,"San Luis Obispo County, CA",Other,Contact tracing/Testing,Testing,Criminal justice system/prisons/jails/incarcerated persons,The County Health Officers ordered that the county jail and juvenile hall order the ongoing testing of all inmates/detained youth suspected of having COVID-19 or suspected of being exposed to COVID-19.,2020-10-28,2020-10-28,Unspecified,Unspecified,
Local,California,"San Luis Obispo County, CA",Other,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,The ban on visitors at nursing homes is rescinded.,2020-09-21,2020-09-21,2020-09-21,2020-09-21,
Local,California,"San Luis Obispo County, CA",Relaxing,Social distancing,Visitor restrictions,Nursing homes/assisted living facility,"The ban on visitors at hospitals and similar facilities is lifted; the ban on visitors at nursing homes is continued, except in limited circumstances (such as patients in end-of-life care).",2020-06-05,2020-06-05,Unspecified,2020-09-21,
Local,California,"San Luis Obispo County, CA",Restricting,Social distancing,Private sector closures,Restaurants/bars,"All bars, breweries, and pubs must close for services during the Fourth of July weekend.",2020-07-03,2020-07-03,2020-07-06,2020-07-06,
Local,California,"San Mateo County, CA",Restricting,Contact tracing/Testing,Testing,Essential workers (inclusive); Suspected cases,"Clinical Laboratories in the County are ordered to accept assignments for COVID-19 Diagnostic Tests administered to individuals (1) who are referred for testing by the County Health Officer or designee, and (2) whose specimens are collected under Optum Serve/Logistics Health Inc. services, as contracted for by the State of California.",2020-05-13,2020-05-14,Unspecified,Unspecified,
Local,California,"San Mateo County, CA",Restricting,Contact tracing/Testing,Testing,Essential workers (inclusive); Suspected cases,"All laboratories conducting COVID-19 diagnostic tests are required to report COVID-19 test information, including positive, negative, and inconclusive test results, to Health Officer and the California Department of Public Health, and shall include age, sex, patient address and race/ethnicity data fields.",2020-05-13,2020-05-14,Unspecified,Unspecified,
Local,California,"San Mateo County, CA",Restricting,Contact tracing/Testing,Contact tracing,General population (inclusive); Suspected cases; Confirmed cases,"A Person with COVID-19 must promptly tell their Close Contacts that they need to self-quarantine themselves and should be tested. Close Contacts who should be notified to self-quarantine are people who were in close physical proximity with them during their infectious period.  For purposes of this order, a “Close Contact” of a Person with COVID-19 includes any person who, during the infectious period of the Person with COVID-19: i. Lived in or stayed at the same residence as the Person with COVID-19 when the Person with COVID-19 was not following Home Isolation Instructions; OR ii. Was an intimate sexual partner of the Person with COVID-19; OR iii. Stayed within 6 feet of the Person with COVID-19 for 10 minutes or more while the Person with COVID-19 was not wearing a face covering; OR iv. Had direct contact for any amount of time with the body fluids and/or secretions of the Person with COVID-19 (e.g., was coughed or sneezed on, shared utensils with, or was provided care by or provided care for them without wearing a v. mask, gown, and gloves).",2020-05-14,2020-05-16,Unspecified,Unspecified,
Local,California,"San Mateo County, CA",Restricting,Contact tracing/Testing,Contact tracing,General population (inclusive); Suspected cases; Confirmed cases,"A person with COVID-19 must cooperate fully with Public Health concerning: i) collection, reporting and monitoring of temperature readings and other health data; ii) contact tracing and related investigations, including identification of contacts; and iii) any ongoing monitoring by Public Health, including after Period of Isolation.",2020-05-14,2020-05-16,Unspecified,Unspecified,
Local,California,"San Mateo County, CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Suspected cases,"All individuals who meet the definition of a close contact of an individual diagnosed with COVID-19 must immediately obtain a diagnostic test for COVID-19. Information on how to obtain diagnostic testing is available through a person’s primary health care provider, or by calling 211 for information concerning community-based testing. A Close Contact who tests positive for COVID-19 immediately becomes a Person with COVID-19 and is subject to the requirements of Health Officer Order c19-6b.",2020-05-14,2020-05-16,Unspecified,Unspecified,
Local,California,"San Mateo County, CA",Restricting,Contact tracing/Testing,Testing,General population (inclusive); Nursing homes/assisted living facility; Older adults/individuals with underlying medical conditions; Suspected cases; Confirmed cases,"If a Facility learns that any Facility resident, or Facility Staff living or working at the Facility, or who had been recently living or working at the Facility has tested positive for COVID-19 or is informed by a physician that any resident or Staff is presumed positive for COVID-19, residents and Staff of all Facilities shall also be subject to mandatory COVID-19 testing, and the imposition of such other measures to contain the spread of COVID-19 as deemed necessary for the protection of public health, by the San Mateo County Department of Public Health or its designee.",2020-07-14,2020-07-15,Unspecified,Unspecified,
Local,California,"San Mateo County, CA",Other,Social distancing,Isolation,General population (inclusive); Suspected cases; Confirmed cases,"For purposes of this Order, an individual, other than a minor child or person with special needs who requires specialized care, becomes a “Person with COVID-19” under this Order immediately upon meeting any of the following criteria: a. The person is informed they have a positive lab test for the COVID-19 virus; OR b. The person has signs and symptoms that are consistent with COVID-19, as set forth in guidance from the Centers for Disease Control (CDC) at https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html, within 14 days of knowingly being in close proximity with another person who was known or suspected to be capable of actively transmitting COVID-19 and such symptoms are not explained by another condition that preexisted such close contact; OR c. The person has been informed by a healthcare provider that they are likely to have COVID-19; OR d. The person has signs and symptoms that are consistent with COVID-19 and is awaiting results of testing for COVID-19.",2020-05-14,2020-05-16,Unspecified,Unspecified,
